place_id,name_en,name_gu,alt_spellings,district_taluka,state,lat,lng,pin_confidence,period_label,ce_from,ce_to,life_phase,evidence,caution,sources,work
1,Vavania,વવાણિયા,"Vavaniya, Vavania Bandar","Maliya-Miyana taluka, Morbi district",Gujarat,23.00552,70.61034,Medium,VS 1924–1957 (1867–1901),1867,1901,childhood,"Birthplace. Childhood jatismaran-jnan at the crematorium c. 1875. Repeated lifetime stays; Paryushan VS 1951 (1894–95); Apurva Avsar composed here VS 1953 (1896–97); named in the VS 1946, 1947, 1951, 1953, 1954, 1955 and 1956 travel entries; last recorded stay VS 1956 (1900).","The Trust's own Vavaniya page carries no Vavania entries at all — its rows are mis-filed Uttarsanda content. Vavania is the least-documented major site on the Trust website, not the best.",SRMD life; Raj Saubhag Jatra report 2016,"Apurva Avsar Evo Kyare Avshe? — composed here, VS 1953 (1896–97)"
2,Morbi,મોરબી,Morvi,Morbi district,Gujarat,22.8177,70.8346,High,VS 1940–1957 (1883–1901),1883,1901,avadhan,"First ashtavadhan (eight simultaneous tasks) performed here VS 1940 (1883–84). Marriage to Jhabakbai, 1888. Met Sobhagbhai here VS 1946 (1889–90). Named in the VS 1945, 1952, 1955, 1956 and 1957 entries; a two-month stay is recorded in 1900.",,Trust – Vavaniya/Morbi; SRMD life; jainQQ chronology,
3,Rajkot,રાજકોટ,,Rajkot district,Gujarat,22.3,70.7833,High,VS 1957 (1900–01); childhood visits,1900,1901,final,"Final residence. Deh Vilay (departure from the body) on Chaitra Vad 5, VS 1957 — Tuesday 9 April 1901, at about 2 pm. Cremation at the Hindusmashan near Ramnathpura on the bank of the Aaji.",,Trust – Rajkot/Sayla; SRMD life; jainQQ,
4,Jamnagar,જામનગર,Navanagar,Jamnagar district,Gujarat,22.4732,70.0552,High,VS 1941 (1884–85),1884,1885,avadhan,"12- and 16-avadhan performances, per the jainQQ chronology and SRMD's Shatavdhani article.",Venue disputed. Wikipedia assigns the 12-avadhan to Morbi and the 16-avadhan to Wadhwan Camp; SRMD gives Jamnagar for both plus Wadhwan. The three accounts are incompatible and none should be asserted alone.,jainQQ chronology; SRMD,
5,Botad,બોટાદ,,Botad district,Gujarat,22.1686,71.6685,High,"VS 1941 (1884–85), aged about 18",1884,1885,avadhan,"The 52-avadhan performance, held in a private gathering — including chopat and cards with three players each, chess, and composing verses on eight subjects.",,jainQQ chronology; Wikipedia; SRMD Shatavdhani article,
6,Mumbai,મુંબઈ,Bombay,Mumbai City,Maharashtra,18.951808,72.830697,High (Zaveri Bazaar anchor),VS 1943–1957 (1886–1901),1886,1901,business,"Shatavadhan (100 simultaneous tasks) at the Sir Framji Cawasji Institute on 22 January 1887, aged 19 — the single best-attested date of his life. Jewellery business from VS 1945 (1888–89) with Revashankar Jagjivandas Mehta. First meeting with Mahatma Gandhi, July 1891, on the day Gandhi returned from England. Chaturmas with Lalluji Munishri VS 1949 (1892–93). Named in the VS 1947, 1949, 1951, 1953, 1954, 1955 and 1957 entries.",,SRMD life; Wikipedia; Gandhi's own account,
7,Ahmedabad,અમદાવાદ,,Ahmedabad district,Gujarat,23.0225,72.57139,High,VS 1944–1957 (1887–1901),1887,1901,business,"Met Juthabhai VS 1944 (1887–88). Fifteen-day stay at Jesangbhai Sheth's residence VS 1945 (1888–89) — the earliest dated stay on the Trust register. Named in the VS 1945, 1955 and 1957 entries. In VS 1957 (1900–01), during the final illness, He stayed at the Aga Khan's bungalow with His mother and wife before moving to Wadhwan Camp.",,Trust – Ahmedabad/Naroda; Wikipedia; jainQQ,
8,Bharuch,ભરૂચ,Broach,Bharuch district,Gujarat,21.712,72.993,High,VS 1945 (1888–89),1888,1889,business,"Named in the VS 1945 travel entry alongside Ahmedabad, Surat and Morbi.",,Trust – Tithal/Dharampur/Bharuch; jainQQ,
9,Surat,સુરત,,Surat district,Gujarat,21.205,72.84,High,VS 1945 (1888–89),1888,1889,business,Named in the VS 1945 travel entry. Interaction with monks recorded in the biography.,,jainQQ chronology,
10,Sayla,સાયલા,,"Sayla taluka, Surendranagar district",Gujarat,22.55,71.483,High,"VS 1946, 1951, 1953 (1889–97)",1889,1897,business,"Home of Sobhagbhai, His closest lay devotee, who was 44 years his senior. Six days with Ambalalbhai here VS 1946 (1889–90); stayed with Sobhagbhai VS 1953 (1896–97). It was at Sobhagbhai's request that the Atmasiddhi Shastra was composed.","A bare geocode of 'Sayla' resolves to Sayla in Jalore district, Rajasthan. Always pin against Surendranagar.",Trust – Rajkot/Sayla; jainQQ; Raj Saubhag,
