site_id,place_id,place_en,site_name_en,site_name_gu,structure_status,lat,lng,address,evidence_note,pin_confidence
1,1,Vavania,Shrimad Rajchandra Janma Bhuvan (birth house),,UNID,,,,Standing complex; no source states how much of the original house survives,
2,1,Vavania,"Rambai Mandir, within the Janma Bhuvan complex",,MEM,,,,Reported by Raj Saubhag; origin status not stated,
3,1,Vavania,Guru Mandir (idol of Param Krupalu Dev),,MEM,,,,Idol installation is necessarily post-1901,
4,1,Vavania,Crematorium / lake area of the jatismaran-jnan,,ORIG,23.00691,70.61002,,"Natural feature, located by a Google Maps listing named 'Shrimad Rajchandra Jatismaran Gyaan' — the name matches the event exactly. It is a separate listing about 250 m from the Janma Bhuvan shrine, so the two are not the same place. Google Maps listing, research pass 1, 14 Sep 2026",Building
5,2,Morbi,Market of Morbi (faith-testing by Judge Dharshibhai),,UNID,,,,"An area, not a pinned structure",
6,2,Morbi,Marriage premises,,UNID,,,,Named by Raj Saubhag; no address published,
7,2,Morbi,Residence of Shri Vinaychand Popatlal Daftari,,UNID,,,,Trust page's name and description do not match,
8,3,Rajkot,Narmada Mansion / Samadhi Bhavan,,ORIG,22.30118,70.79744,,"The house where He died, 9 April 1901. Google Maps carries it as 'Shrimad Rajchandra Samadhi Bhavan' at Gayatridham Apartment, Kashivishwanath Plot 9, Sadar, Rajkot 360001; a review states He spent his last thirty days on the ground floor of Narmada Mansion. The listing's own name and the review agree with the Trust's account. Google Maps listing, research pass 1, 14 Sep 2026",Building
9,3,Rajkot,Param Samadhi Mandir at the Aaji riverbank cremation ground,,MEM,,,,Temple built at the original cremation ground; no build year published,
10,3,Rajkot,"Shrimad Rajchandra Gyan Mandir, opposite Akashvani",,MEM,,,,"Modern swadhyay hall, no lifetime event",
11,4,Jamnagar,Historical avadhan venue,,UNID,,,,No source names the hall,
12,5,Botad,Historic avadhan venue,,UNID,,,,"No day, month or address is recorded in any source",
13,6,Mumbai,Zaveri Bazaar / Bhuleshwar business quarter,,ORIG,,,,Locality survives; the specific premises are not identified,
14,6,Mumbai,"Sir Framji Cawasji Institute, Dhobi Talao",,ORIG,18.94299,72.82800,,"Site of the Shatavadhan, 22 January 1887. The building survives as Framji Cowasji Hall at Anandilal Podar Marg, Dhobi Talao, Kalbadevi 400002, opposite Metro Cinema. No source publishes a coordinate for the building; the pin is the centre of Anandilal Podar Marg as mapped in OpenStreetMap, about 1 km south-west of the Zaveri Bazaar anchor this site previously inherited. The entrance itself is still unverified.",Street-level
15,6,Mumbai,Matunga and Sion/Shiv late-life health stays,,UNID,,,,Named in Edition 1; no source located,
16,7,Ahmedabad,Residence of Shri Jesangbhai Sheth,,ORIG,,,,15-day stay VS 1945; no preservation claim published,
17,7,Ahmedabad,Hathising ni Vaadi — small room above the main gate,,ORIG,,,,"A private residence, not the Hutheesing temple; do not conflate the two",
18,7,Ahmedabad,"Building in Ghanchi's Pol, old city",,ORIG,,,,Pol confirmed to exist; no street or coordinate published,
19,7,Ahmedabad,Saraspur Upashray,,ORIG,,,,Ambalalbhai went there on His instruction; He was not present,
20,7,Ahmedabad,Aga Khan's Bungalow,,UNID,,,,"The Trust's register states the VS 1957 stay and publishes no address. Pass 2 checked Ahmedabad Municipal Corporation's official heritage register, which lists no Aga Khan property at all — the most likely place to find it had the building survived and been recognised. Genuinely unresolved. Research pass 2, 16 Sep 2026",
21,7,Ahmedabad,Lal Bungalow / Rajnagar Subodhak Pustakalay,,MEM,,,,Built by Jesangbhai in memory of Juthabhai; year unpublished,
22,8,Bharuch,Residence of Shri Anupchand Malukchand,,ORIG,,,,"Anupchand requested Samadhi Maran of Him here Checked in pass 2 against the Trust's Titthal-Dharampur-Bharuch page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
23,8,Bharuch,Crematory frequented for meditation,,ORIG,,,,"A ground; exact point not pinned Checked in pass 2 against the Trust's Titthal-Dharampur-Bharuch page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
24,8,Bharuch,Shri Samali Vihar Jinmandir,,ORIG,21.69442,72.98476,,"Listed as 'Shree Munisuvrat Swami Samdi Vihar Jain Derasar'. Samdi Vihar is very probably the Samali (Shakunika) Vihar, the historic Bharuch temple of that name, but the listing carries nothing specific to Him, so the name is doing all the work. The temple is identified; the visit rests on the Trust's register as before. Google Maps listing, research pass 1, 14 Sep 2026","Building — name variant, association unconfirmed"
25,9,Surat,Historic site not identified,,UNID,,,,No Trust page covers Surat,
26,10,Sayla,"Sobhagbhai's residence, now Nutan Bhaktigruh",,GONE,,,,"The Trust's wording is 'converted into' — the plot is original, the building repurposed",
27,10,Sayla,Shri Raj Sobhag Ashram,,MEM,,,"Saubhagpara, near National Highway 47, Sayla 363430, Surendranagar district","Founded after His lifetime on the documented Sayla ground. OpenStreetMap has the campus Shree Raj Saubhag Eye Hospital at 22.54623, 71.48419, within about 300 m of the town pin this site already inherits, so no separate pin is warranted yet.",
28,11,Khambhat,Shri Ambalalbhai's house and room,,ORIG,,,,"One of only two buildings the Trust calls original. A Google Maps listing 'Shrimad Rajchandra Raj Chhaya' at 3 Pirajpal Rd, Chudiwaal Chakla, Khambhat (22.31758, 72.61853) carries a review saying the place was consecrated by His presence, and sits in the right quarter of the old city — but it is not named for Ambalalbhai in any source found. Recorded as a candidate, not pinned. Google Maps listing, research pass 1, 14 Sep 2026 Checked in pass 2 against the Trust's Ralej-Vadva-Khambhat page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
